DATE,LFWA64TTUSM647S
1977-01-01,135232782.45025697
1977-02-01,135384132.169404
1977-03-01,135654740.90485498
1977-04-01,135854761.009517
1977-05-01,136213848.599115
1977-06-01,136382513.825907
1977-07-01,136563261.512286
1977-08-01,136708328.13231498
1977-09-01,136949912.942917
1977-10-01,137181845.447154
1977-11-01,137352617.10828102
1977-12-01,137499929.289191
1978-01-01,137704032.263531
1978-02-01,137896737.73098198
1978-03-01,138053019.88020998
1978-04-01,138234288.63667798
1978-05-01,138426753.26075098
1978-06-01,138694105.474621
1978-07-01,138826169.50318
1978-08-01,138929793.794376
1978-09-01,139175615.81444803
1978-10-01,139376723.52659002
1978-11-01,139617827.15150002
1978-12-01,139836365.309402
1979-01-01,140078514.121703
1979-02-01,140291367.464401
1979-03-01,140509448.27583498
1979-04-01,140520372.304001
1979-05-01,140743495.288281
1979-06-01,141048436.42851898
1979-07-01,141143525.70369798
1979-08-01,141279809.893491
1979-09-01,141518174.01014802
1979-10-01,141767862.668441
1979-11-01,142032350.036137
1979-12-01,142246525.870003
1980-01-01,142440850.888406
1980-02-01,142643833.257169
1980-03-01,142813187.847541
1980-04-01,142925990.33477202
1980-05-01,143207284.318384
1980-06-01,143383902.001957
1980-07-01,143530534.211504
1980-08-01,143780052.837946
1980-09-01,143937607.950476
1980-10-01,144049976.57828498
1980-11-01,144243966.057358
1980-12-01,144294739.15515903
1981-01-01,144388591.35112602
1981-02-01,144547737.65461302
1981-03-01,144717687.04691598
1981-04-01,144872024.879024
1981-05-01,145099781.182495
1981-06-01,145286164.653485
1981-07-01,145350882.12672198
1981-08-01,145536959.424094
1981-09-01,145682454.94475898
1981-10-01,145862302.05622602
1981-11-01,146034212.113736
1981-12-01,146092591.086585
1982-01-01,145993913.222515
1982-02-01,146095641.06795
1982-03-01,146249809.235682
1982-04-01,146509108.25624
1982-05-01,146776355.68828
1982-06-01,146896332.539885
1982-07-01,147021230.379311
1982-08-01,147259279.789605
1982-09-01,147471556.47617
1982-10-01,147632696.313123
1982-11-01,147630092.396113
1982-12-01,147626005.308153
1983-01-01,147308403.789006
1983-02-01,147404865.577351
1983-03-01,147617025.389893
1983-04-01,147979665.999749
1983-05-01,148208817.641461
1983-06-01,148340688.147956
1983-07-01,148494444.25959
1983-08-01,148664866.903427
1983-09-01,148812258.640971
1983-10-01,148923519.094154
1983-11-01,148940647.44698
1983-12-01,149024140.227061
1984-01-01,149163847.93324202
1984-02-01,149322687.047573
1984-03-01,149473086.04099798
1984-04-01,149622982.779794
1984-05-01,149716813.7393
1984-06-01,149957108.11692902
1984-07-01,150022322.342692
1984-08-01,150127892.33644998
1984-09-01,150315491.852189
1984-10-01,150396684.409889
1984-11-01,150524002.60376602
1984-12-01,150683653.08159402
1985-01-01,150503986.86785698
1985-02-01,150655596.93104
1985-03-01,150830077.10109597
1985-04-01,150881641.76465398
1985-05-01,150978852.405653
1985-06-01,151251454.020637
1985-07-01,151276972.97278398
1985-08-01,151395461.817628
1985-09-01,151500678.32891202
1985-10-01,151648803.58596998
1985-11-01,151791956.709953
1985-12-01,151925658.951833
1986-01-01,152369921.832724
1986-02-01,152469722.808683
1986-03-01,152635149.881892
1986-04-01,152737464.463126
1986-05-01,152870567.739209
1986-06-01,153074050.146776
1986-07-01,153150041.327526
1986-08-01,153319338.689597
1986-09-01,153442828.789757
1986-10-01,153598289.108111
1986-11-01,153741892.139963
1986-12-01,153833117.649911
1987-01-01,153839242.60794902
1987-02-01,154046498.22872803
1987-03-01,154199875.250704
1987-04-01,154326570.950945
1987-05-01,154501198.250422
1987-06-01,154635989.475869
1987-07-01,154715149.796735
1987-08-01,154819999.427703
1987-09-01,154929603.26647198
1987-10-01,155075271.55784202
1987-11-01,155220884.11576602
1987-12-01,155341099.281182
